Id,SalePrice
2658,159297.44788278054
2718,150092.59832870224
2414,231644.82831329847
1989,116881.39461185472
625,167592.9428102261
333,90508.91138977733
1327,89510.46977014498
858,143175.01565663653
95,202407.19668694623
1568,179148.34196677388
2482,177788.3376136025
1364,123635.45585406493
2584,140652.3450432991
818,283128.9699525224
2673,144033.87014278187
2089,119203.80278018155
1297,164724.60140152686
790,116338.77973833625
2616,199361.22545093184
720,232067.6365808745
222,130743.12591358318
557,127136.55479398576
1148,187934.1445371985
2766,161843.40841072798
534,202696.95544724804
1452,123295.03956284045
630,105908.85399178509
2648,99810.95707142315
125,157570.489271778
1904,40476.224267739206
1670,97960.31674417022
756,65685.2706023082
717,203129.6658806721
1032,164616.33906656268
852,210489.14807607586
1731,182166.00719670087
2639,95873.88967484159
2071,94060.29513677619
1267,131069.27650967144
1851,200806.46211998133
567,170200.24184069733
2439,220446.57471273388
1898,132736.64947544233
647,169945.1381494814
2256,226393.93631823285
979,88288.40552787921
1444,232780.22256952646
2485,124032.76841356707
157,117770.06505256574
88,141880.49097767533
2003,108222.56866999198
186,238109.9677737712
1425,231975.2370265277
2695,115705.57412738298
738,98064.71769020359
395,154506.2491527458
1353,184498.43418473855
1878,131425.92497441647
390,194783.0032925485
1456,241770.75180185476
1103,307097.78385970456
1387,137228.27298265093
2070,129726.81769190708
1199,198600.3506571269
2479,198069.16613572664
501,251234.76156647917
2362,99078.23546261237
1718,196849.62898829
2188,67023.11814801839
1483,171648.07085233214
2557,64357.78231137319
437,310503.99654839985
2224,184189.43210052577
1628,203725.69300847093
397,143248.02715120118
587,175620.86347819463
971,147417.79071018996
2611,165807.75452216985
1887,111186.06600727976
2399,379252.5550218119
2148,205650.17346983377
304,120625.0161707644
1997,122404.02221488653
2817,100586.48522194385
1431,191696.2168346965
427,325810.2214906683
263,123902.31751578042
598,181974.70415894958
2895,247972.1052095723
687,130743.73534065354
1822,134514.5556992355
2191,92820.16985971578
179,126834.25530630414
1009,228583.41638457234
2010,129746.96357578094
1991,146150.3063519059
1411,152439.6227303107
1721,219963.805729565
1144,205171.74007519145
593,256049.37394953828
575,346148.6083273991
1249,173047.21663068348
1604,123669.47122198655
1064,436001.86663028476
1923,176998.40512754893
1988,116801.15813152204
2325,179576.13112071514
114,210451.3006144043
2700,180482.61649264538
217,146935.8987976256
343,186791.2980525796
386,237312.2907259225
2005,110700.74985939736
2908,136982.88707279172
1814,256878.28398473788
2446,423830.1380524978
208,137604.00214655287
1679,116469.78792056194
822,353823.7426263687
6,194884.94008031287
1781,403259.1461991679
2397,248658.46987520094
2340,288837.8198421443
1618,172073.55196931786
2843,141219.7613528756
1061,321740.1601302829
2786,137570.93000453323
1935,132720.13210161382
1341,104253.73622399924
521,261874.4766462419
2136,130149.50393214257
996,194031.4331253314
227,138505.13217680025
135,170507.8343417919
1167,169792.87641405212
294,221568.31451286646
1776,210756.68801658062
540,194808.47203557743
1717,191871.62416434972
2303,136758.74814354666
116,191092.29706652675
127,112860.60432293275
1371,129512.18316684026
1014,149644.82147766874
1507,122076.3179516308
702,135441.52117193557
750,143560.08785653036
261,166991.0680037076
1559,74067.75163162891
577,221883.92983020007
2812,221187.19870076704
2080,169011.93122981215
1368,120503.52091980731
2376,120376.12117378632
659,119413.59354536716
1235,142974.43897335688
332,72472.51807945514
1917,160255.26180497467
2094,235322.15596550825
1460,251187.69178064232
1471,200956.72376537477
1509,122242.896831016
1922,132442.75773623722
433,457330.59810271143
460,304726.0923352916
1116,215297.0091405943
1137,172432.8110737221
53,187099.60898955402
2354,258758.64796659205
1475,208483.27423882767
1761,456861.3129194583
842,138334.9571155144
2739,150596.98131219053
2509,182638.10992914534
1007,219167.39232769815
2610,182740.3882939141
1952,85024.43981506485
2719,163747.14000701517
2921,84385.2820134241
1966,144048.73465494
292,98771.08361196714
1204,210547.59919479312
1829,240827.69899136625
2419,209628.48436842355
391,157279.87870477067
798,129040.91947090777
481,227330.89095947886
193,199448.49378665016
555,108783.52722122145
899,53846.73894199013
2357,194288.01687295033
328,127438.30122531267
1356,125726.97159255596
1154,114300.85370939973
1730,187986.3691705199
2249,148761.38082723037
1119,265369.1849591225
2856,146069.2542698505
1394,129312.59896553669
2587,113912.29252218432
61,263378.4473120184
2661,182972.094264912
2711,144911.6968445771
1147,205349.31778715205
757,125203.46487986346
